EXPERIMENT METHOD,
X-RAY DIFFRACTION,11400
SOLUTION NMR,140
ELECTRON CRYSTALLOGRAPHY,45
ELECTRON MICROSCOPY,608
SOLID-STATE NMR,17
"X-RAY DIFFRACTION, EPR",7
,
,
,
CLASSIFICATION,
OUTER MEMBRANE PROTEIN,16
MEMBRANE PROTEIN,1879
PHOTOSYNTHETIC REACTION CENTER,106
PHOTORECEPTOR,31
COMPLEX (OXIDOREDUCTASE/ANTIBODY),9
HYDROLASE,726
GLYCOPROTEIN,1
OXIDOREDUCTASE,3024
ELECTRON TRANSPORT,299
HORMONE RECEPTOR,1
PROTON TRANSPORT,184
PROTON PUMP,2
ANION TRANSPORT,2
TRANSMEMBRANE PROTEIN,7
METAL BINDING PROTEIN,3
TRANSPORT PROTEIN,2040
ION TRANSPORT,50
"PROTON TRANSPORT, HYDROLASE",1
PHOTOSYNTHESIS,1098
BACTERIORHODOPSIN,8
TRANSPORT,17
OXIDOREDUCTASE/ELECTRON TRANSPORT,56
"PROTON TRANSPORT, MEMBRANE PROTEIN",10
METAL TRANSPORT,290
Hydrolase/Hydrolase Inhibitor,89
SIGNALING PROTEIN,84
TRANSPORT PROTEIN/HYDROLASE,22
"MEMBRANE PROTEIN, PROTON TRANSPORT",2
ION CHANNEL/RECEPTOR,10
REACTION CENTRE,9
INTEGRAL MEMBRANE PROTEIN PORIN,2
INTEGRAL MEMBRANE PROTEIN,3
OUTER MEMBRANE,1
TONB DEPENDENT RECEPTOR,21
OXIDOREDUCTASE/IMMUNE SYSTEM,27
ATP SYNTHASE,18
LIPID TRANSPORT,32
MEMBRANE PROTEIN/SIGNALING PROTEIN,10
IMMUNE SYSTEM/ION TRANSPORT,8
"METAL TRANSPORT, membrane protein",27
PROTEIN TRANSPORT,48
Metal Transport/Membrane Protein,16
IMMUNE SYSTEM/TRANSPORT PROTEIN,16
"PROTON TRANSPORT,MEMBRANE PROTEIN",24
MEMBRANE PROTEIN/TRANSPORT PROTEIN,5
SIGNALING PROTEIN/MEMBRANE PROTEIN,6
PHOTOSYNTHESIS/MEMBRANE PROTEIN,109
"MEMBRANE PROTEIN, TRANSPORT PROTEIN",595
ION CHANNEL,14
MEMBRANE PROTEIN/HYDROLASE,33
IMMUNE SYSTEM/METAL TRANSPORT,26
TRANSCRIPTION,1
"MEMBRANE PROTEIN,APOPTOSIS",1
"MEMBRANE PROTEIN, OXIDOREDUCTASE",10
CELL ADHESION,21
TRANSFERASE,21
PROTEIN FIBRIL,1
NEUROPEPTIDE,2
TRANSPORT PROTEIN/SIGNALING PROTEIN,15
HYDROLASE/TRANSPORT PROTEIN,228
MEMBRANE PROTEIN / HYDROLASE,8
HYDROLASE/PEPTIDE,8
"membrane protien, metal transport",2
MEMBRANE PROTEIN/ANTIBIOTIC,96
UNKNOWN FUNCTION,6
IMMUNE SYSTEM/PROTON TRANSPORT,12
"MEMBRANE PROTEIN, RECEPTOR",14
membrane protein/metal transport,29
EXOCYTOSIS,9
"MEMBRANE PROTEIN, ion transport",6
"MEMBRANE PROTEIN,  ion transport",4
"HYDROLASE, METAL TRANSPORT",4
TRANSPORT PROTEIN/CALCIUM BINDING,6
TRANSPORT PROTEIN/TOXIN,75
CELL INVASION,24
TRANSPORT PROTEIN/PROTEIN BINDING,10
IMMUNE SYSTEM/OXIDOREDUCTASE,38
"SIGNALING PROTEIN, HYDROLASE",13
"TRANSPORT PROTEIN, MEMBRANE PROTEIN",74
MEMBRANE PROTEIN/PROTEIN TRANSPORT,3
Transferase/Peptide,2
"HYDROLASE, MEMBRANE PROTEIN",20
CELL ADHESION/TRANSPORT/CHAPERONE,6
THIAMINE-BINDING PROTEIN,4
SIGNALING PROTEIN/Hydrolase,5
HYDROLASE/INHIBITOR,2
TRANSPORT PROTEIN/INHIBITOR,29
CHAPERONE,2
MEMBRANE PROTEIN/IMMUNE SYSTEM,6
TRANSPORT PROTEIN/ANTIBIOTIC,12
STRUCTURAL PROTEIN,13
"HYDROLASE,PROTEIN TRANSPORT",5
HYDROLASE/HYDROLASE REGULATOR,4
HYDROLASE/MEMBRANE PROTEIN,22
"HYDROLASE, TRANSPORT PROTEIN",8
TRANSPORT PROTEIN/Immune System,11
"tranport protein, membrane protein",18
"membrane protein, tranport protein",7
"electron transport, membrane protein",25
PROTEIN BINDING,31
THIAMINE BINDING PROTEIN,13
OXIDOREDUCTASE/INHIBITOR,17
Membrance Protein,5
tranport protein/inhibitor,7
protein transport/inhibitor,9
MEMBRANE PROTEIN/INHIBITOR,4
"MEMBRANE PROTEIN,TRANSPORT PROTEIN",10
LIPID BINDING PROTEIN,7
IMMUNE SYSTEM,12
TRANSLATION,6
Hydrolase/Transport,5
Signaling Protein/antagonist,7
CALCIUM BINDING PROTEIN,2
Transport Protein/Membrane Protein,2
MOTOR PROTEIN,14
CYTOLYTIC PROTEIN,7
