PDB ID,Chain ID,Macromolecule Name,Exp. Method,Classification,Ligand Name
"1OS6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"1OS6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"1OS6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"1WLP","A","Cytochrome b-245 light chain","SOLUTION NMR","OXIDOREDUCTASE/Signaling Protein",""
"1WLP","B","Neutrophil cytosol factor 1","SOLUTION NMR","OXIDOREDUCTASE/Signaling Protein",""
"2LDO","A","Cytochrome c3","SOLUTION NMR","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"2O01","1","AT3g54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","3","PSI type III chlorophyll a/b-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","4","PSI light-harvesting antenna chlorophyll a/b-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2O01","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"2O01","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2O01","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
